               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024792,           0.0075089,                   0,              0.9515,             0.97587,             0.98365,             0.71313,            0.020616,           0.0043845,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025121,           0.0073278,                   0,             0.95495,             0.97855,             0.98461,             0.71366,            0.020606,           0.0043754,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.023823,           0.0072576,                   0,             0.95188,             0.98123,             0.98458,             0.72667,            0.019995,           0.0043323,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022923,           0.0073136,                   0,             0.94033,             0.98391,             0.98241,             0.71957,            0.020527,           0.0042963,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02352,           0.0070596,                   0,             0.94279,             0.97855,              0.9823,             0.71173,            0.020526,           0.0042851,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023066,           0.0064801,                   0,               0.948,             0.97754,             0.98089,             0.71779,            0.019919,           0.0042461,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022703,           0.0067656,                   0,              0.9377,             0.98123,             0.98204,             0.70659,            0.020601,           0.0042391,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022027,           0.0071435,                   0,             0.95805,             0.97976,             0.98586,             0.73808,             0.01873,           0.0041864,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.022146,           0.0069067,                   0,             0.95806,             0.97995,             0.98599,             0.74566,            0.018406,           0.0041778,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.022727,           0.0066702,                   0,             0.95524,             0.97855,             0.98608,              0.7501,            0.018494,           0.0041713,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022211,           0.0068661,                   0,             0.95614,             0.97587,             0.98624,             0.74924,            0.017997,           0.0041376,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022324,           0.0070619,                   0,                0.95,             0.98123,             0.98526,             0.75451,            0.017942,           0.0040849,                   0,            0.000496,            0.000496,            0.000496
